company_name;fantasy_name;cnpj;phone;email;representative;street;zipcode;number;city;state
Empresa Exemplo S.A. 24;Fantasia 24;98.167.894/0001-11;(39) 9 2994-1250;contato24@empresaexemplo.com.br;Representante 24;Rua Exemplo, 699;93480-486;46;Joinville;SC
Empresa Exemplo S.A. 25;Fantasia 25;55.770.931/0001-64;(55) 9 4947-2128;contato25@empresaexemplo.com.br;Representante 25;Rua Exemplo, 982;97883-908;196;Cidade Exemplo;ES
Empresa Exemplo S.A. 26;Fantasia 26;16.946.160/0001-74;(23) 9 8375-8995;contato26@empresaexemplo.com.br;Representante 26;Rua Exemplo, 312;70002-325;632;Cidade Exemplo;MT
Empresa Exemplo S.A. 27;Fantasia 27;98.149.515/0001-82;(85) 9 6538-9863;contato27@empresaexemplo.com.br;Representante 27;Rua Exemplo, 937;67724-315;878;Cidade Exemplo;ES
Empresa Exemplo S.A. 28;Fantasia 28;22.242.726/0001-34;(59) 9 7883-9717;contato28@empresaexemplo.com.br;Representante 28;Rua Exemplo, 45;12469-673;123;Rio de Janeiro;RJ
Empresa Exemplo S.A. 29;Fantasia 29;16.241.162/0001-28;(24) 9 1154-9091;contato29@empresaexemplo.com.br;Representante 29;Rua Exemplo, 391;68086-955;144;Cidade Exemplo;PR
Empresa Exemplo S.A. 30;Fantasia 30;70.583.498/0001-84;(30) 9 6588-4845;contato30@empresaexemplo.com.br;Representante 30;Rua Exemplo, 443;32804-581;684;Cidade Exemplo;PE
Empresa Exemplo S.A. 31;Fantasia 31;15.670.611/0001-48;(86) 9 3016-3493;contato31@empresaexemplo.com.br;Representante 31;Rua Exemplo, 968;41143-629;231;Cidade Exemplo;RO
Empresa Exemplo S.A. 32;Fantasia 32;42.194.781/0001-84;(56) 9 4485-2687;contato32@empresaexemplo.com.br;Representante 32;Rua Exemplo, 955;32110-319;662;Rio de Janeiro;RJ
Empresa Exemplo S.A. 33;Fantasia 33;73.121.338/0001-31;(75) 9 4585-4463;contato33@empresaexemplo.com.br;Representante 33;Rua Exemplo, 213;79924-186;280;Cidade Exemplo;PI
Empresa Exemplo S.A. 34;Fantasia 34;14.941.284/0001-68;(91) 9 1348-6146;contato34@empresaexemplo.com.br;Representante 34;Rua Exemplo, 196;17701-359;590;Cidade Exemplo;ES
Empresa Exemplo S.A. 35;Fantasia 35;20.422.297/0001-98;(57) 9 9012-7087;contato35@empresaexemplo.com.br;Representante 35;Rua Exemplo, 882;88508-817;176;Cidade Exemplo;MA
Empresa Exemplo S.A. 36;Fantasia 36;92.408.890/0001-30;(55) 9 9344-4525;contato36@empresaexemplo.com.br;Representante 36;Rua Exemplo, 952;61568-208;971;Cidade Exemplo;AC
Empresa Exemplo S.A. 37;Fantasia 37;30.381.520/0001-16;(28) 9 2270-8111;contato37@empresaexemplo.com.br;Representante 37;Rua Exemplo, 598;60500-339;326;Cidade Exemplo;PE
Empresa Exemplo S.A. 38;Fantasia 38;96.472.432/0001-95;(96) 9 2570-4708;contato38@empresaexemplo.com.br;Representante 38;Rua Exemplo, 447;93479-942;177;Joinville;SC
Empresa Exemplo S.A. 39;Fantasia 39;78.799.585/0001-78;(56) 9 7147-3734;contato39@empresaexemplo.com.br;Representante 39;Rua Exemplo, 503;15841-813;290;Cidade Exemplo;PB
Empresa Exemplo S.A. 40;Fantasia 40;80.479.575/0001-81;(10) 9 6232-1938;contato40@empresaexemplo.com.br;Representante 40;Rua Exemplo, 128;71697-290;827;Cidade Exemplo;GO
Empresa Exemplo S.A. 41;Fantasia 41;26.219.720/0001-32;(70) 9 3018-6873;contato41@empresaexemplo.com.br;Representante 41;Rua Exemplo, 870;49976-118;948;Rio de Janeiro;RJ
Empresa Exemplo S.A. 42;Fantasia 42;88.761.668/0001-79;(61) 9 6678-2961;contato42@empresaexemplo.com.br;Representante 42;Rua Exemplo, 557;31837-403;110;Cidade Exemplo;TO
Empresa Exemplo S.A. 43;Fantasia 43;60.509.396/0001-44;(77) 9 3335-5857;contato43@empresaexemplo.com.br;Representante 43;Rua Exemplo, 11;96277-983;812;Cidade Exemplo;BA
Empresa Exemplo S.A. 44;Fantasia 44;96.374.764/0001-99;(11) 9 4795-2031;contato44@empresaexemplo.com.br;Representante 44;Rua Exemplo, 177;80114-126;193;Cidade Exemplo;CE
Empresa Exemplo S.A. 45;Fantasia 45;79.911.666/0001-73;(35) 9 6625-3094;contato45@empresaexemplo.com.br;Representante 45;Rua Exemplo, 576;91643-768;80;Cidade Exemplo;CE
Empresa Exemplo S.A. 46;Fantasia 46;18.306.477/0001-22;(90) 9 8778-1833;contato46@empresaexemplo.com.br;Representante 46;Rua Exemplo, 722;93841-486;848;Cidade Exemplo;MS
Empresa Exemplo S.A. 47;Fantasia 47;84.485.143/0001-12;(97) 9 8624-5017;contato47@empresaexemplo.com.br;Representante 47;Rua Exemplo, 303;66744-634;104;Cidade Exemplo;PA
Empresa Exemplo S.A. 48;Fantasia 48;37.553.141/0001-90;(84) 9 6232-1214;contato48@empresaexemplo.com.br;Representante 48;Rua Exemplo, 704;65818-970;483;Cidade Exemplo;AC
Empresa Exemplo S.A. 49;Fantasia 49;24.599.319/0001-95;(36) 9 2342-8703;contato49@empresaexemplo.com.br;Representante 49;Rua Exemplo, 492;61937-539;592;Cidade Exemplo;AM
Empresa Exemplo S.A. 50;Fantasia 50;76.422.770/0001-69;(34) 9 2984-4432;contato50@empresaexemplo.com.br;Representante 50;Rua Exemplo, 803;59732-458;678;Cidade Exemplo;AL
